,Timestamp,Year,Month,Day,Hour,CurHour,DayOfYear,AvDailyTemp,Season,Daylength,BridgeDay,IsRegularDay,IsHoliday,IsHolidayPrev,IsHolidayNext,DailyMaxTemp,DailyMinTemp,DailyMinTempNextDay,DailyMaxWetBulb,DailyMinWetBulb,DailyMinWetBulbNextDay,MeanMaxTempLastDays,MeanMinTempLastDays,MeanMaxWetBulbLastDays,MeanMinWetBulbLastDays,Temperature_Cont,WetBulb_Cont,DayOfWeek,DayOfWeekUnNorm,DeltaTemp_Cont,LoadPower_Cont,PrevLoadPower_Cont,PrevPrevLoadPower_Cont,Price_Cont,Losses_Cont,Congestion_Cont,DeltaWetBulb_Cont,AvTempClass,LoadPower_Cont23
70003,1483228800,2017,1,1,0,0,1,32.85,1,9.042569418510807,1.0,1.0,1,1,1,37.2,28.5,22.7,34.2,26.5,21.7,35.825,26.725,32.875,23.5,30.19749677861894,27.825256601864325,0,0,-1.08865,1045.1,1094.5,1147.9,32.28,-0.17,-34.26,-0.3932723884994509,0,1094.5
70004,1483232400,2017,1,1,1,1,1,32.85,1,9.042569418510807,1.0,1.0,1,1,1,37.2,28.5,22.7,34.2,26.5,21.7,35.825,26.725,32.875,23.5,29.866410375491796,27.566773377001454,0,0,-0.920275,1001.9,1045.1,1094.5,30.77,-0.28,-34.05,-0.25848322486287145,0,1094.5
70005,1483236000,2017,1,1,2,2,1,32.85,1,9.042569418510807,1.0,1.0,1,1,1,37.2,28.5,22.7,34.2,26.5,21.7,35.825,26.725,32.875,23.5,29.568561998425853,27.334239487669212,0,0,-0.698421,976.0,1001.9,1045.1,31.17,-0.27,-34.51,-0.23253388933224173,0,1094.5
70006,1483239600,2017,1,1,3,3,1,32.85,1,9.042569418510807,1.0,1.0,1,1,1,37.2,28.5,22.7,34.2,26.5,21.7,35.825,26.725,32.875,23.5,29.297882710541252,27.12291684024195,0,0,-0.435978,962.8,976.0,1001.9,32.0,-0.42,-37.5,-0.21132264742726292,0,1094.5
70007,1483243200,2017,1,1,4,4,1,32.85,1,9.042569418510807,1.0,1.0,1,1,1,37.2,28.5,22.7,34.2,26.5,21.7,35.825,26.725,32.875,23.5,29.049827596187672,26.92925716320224,0,0,-0.148197,961.0,962.8,976.0,27.89,0.11,-26.46,-0.1936596770397081,0,1094.5
70008,1483246800,2017,1,1,5,5,1,32.85,1,9.042569418510807,1.0,1.0,1,1,1,37.2,28.5,22.7,34.2,26.5,21.7,35.825,26.725,32.875,23.5,28.82090466353633,26.750534215603388,0,0,-3.55271e-15,974.3,961.0,962.8,28.23,0.07,-27.14,-0.1787229475988532,0,1094.5
70009,1483250400,2017,1,1,6,6,1,32.85,1,9.042569418510807,1.0,1.0,1,1,1,37.2,28.5,22.7,34.2,26.5,21.7,35.825,26.725,32.875,23.5,28.608372789852467,26.584607969230603,0,0,0.262337,1000.9,974.3,961.0,34.64,0.14,-32.67,-0.1659262463727842,0,1094.5
70010,1483254000,2017,1,1,7,7,1,32.85,1,9.042569418510807,1.0,1.0,1,1,1,37.2,28.5,22.7,34.2,26.5,21.7,35.825,26.725,32.875,23.5,28.410040769808717,26.429767723149006,0,0,0.75537,1026.4,1000.9,974.3,25.44,0.86,-14.55,-0.15484024608159785,0,1094.5
70011,1483257600,2017,1,1,8,8,1,32.85,1,9.042569418510807,1.0,1.0,1,1,1,37.2,28.5,22.7,34.2,26.5,21.7,35.825,26.725,32.875,23.5,29.589529937434413,27.46429661129253,0,0,1.15729,1042.6,1026.4,1000.9,22.86,0.1,-21.78,1.034528888143523,0,1094.5
70012,1483261200,2017,1,1,9,9,1,32.85,1,9.042569418510807,1.0,1.0,1,1,1,37.2,28.5,22.7,34.2,26.5,21.7,35.825,26.725,32.875,23.5,31.617119560629,29.258829955959,0,0,1.41963,1069.6,1042.6,1026.4,24.67,1.12,-10.98,1.7945333446664726,0,1094.5
