,Timestamp,Year,Month,Day,Hour,CurHour,DayOfYear,AvDailyTemp,Season,Daylength,BridgeDay,IsRegularDay,IsHoliday,IsHolidayPrev,IsHolidayNext,DailyMaxTemp,DailyMinTemp,DailyMinTempNextDay,DailyMaxWetBulb,DailyMinWetBulb,DailyMinWetBulbNextDay,MeanMaxTempLastDays,MeanMinTempLastDays,MeanMaxWetBulbLastDays,MeanMinWetBulbLastDays,Temperature_Cont,WetBulb_Cont,DayOfWeek,DayOfWeekUnNorm,DeltaTemp_Cont,LoadPower_Cont,PrevLoadPower_Cont,PrevPrevLoadPower_Cont,Price_Cont,Losses_Cont,Congestion_Cont,DeltaWetBulb_Cont,AvTempClass,LoadPower_Cont23
70003,1483228800,2017,1,1,0,0,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,29.715229245672887,27.200688831697228,0,0,-1.02141,1064.8,1126.7,1184.9,32.28,-0.17,-34.26,-0.340576239771913,0,1126.7
70004,1483232400,2017,1,1,1,1,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,29.409912857687377,26.977280019706342,0,0,-0.863434,1014.0,1064.8,1126.7,30.77,-0.28,-34.05,-0.22340881199088614,0,1126.7
70005,1483236000,2017,1,1,2,2,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,29.135526683600386,26.776503737817375,0,0,-0.655283,972.7,1014.0,1064.8,31.17,-0.27,-34.51,-0.20077628188896668,0,1126.7
70006,1483239600,2017,1,1,3,3,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,28.886376383528997,26.59419327320922,0,0,-0.40905,958.9,972.7,1014.0,32.0,-0.42,-37.5,-0.18231046460815392,0,1126.7
70007,1483243200,2017,1,1,4,4,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,28.6582084311051,26.427236197888927,0,0,-0.139043,957.0,958.9,972.7,27.89,0.11,-26.46,-0.16695707532029402,0,1126.7
70008,1483246800,2017,1,1,5,5,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,28.447761614205255,26.27324618883285,0,0,7.10543e-15,967.4,957.0,958.9,28.23,0.07,-27.14,-0.15399000905607707,0,1126.7
70009,1483250400,2017,1,1,6,6,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,28.252480517271138,26.130353374732092,0,0,0.399235,989.5,967.4,957.0,34.64,0.14,-32.67,-0.14289281410075816,0,1126.7
70010,1483254000,2017,1,1,7,7,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,28.07032548791842,25.99706528307621,0,0,1.14955,1001.4,989.5,967.4,25.44,0.86,-14.55,-0.1332880916558814,0,1126.7
70011,1483257600,2017,1,1,8,8,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,30.085524438902677,27.37354042254631,0,0,1.76121,1031.1,1001.4,989.5,22.86,0.1,-21.78,1.3764751394700987,0,1126.7
70012,1483261200,2017,1,1,9,9,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,33.11525054471657,29.435310227182498,0,0,2.16045,1056.7,1031.1,1001.4,24.67,1.12,-10.98,2.0617698046361888,0,1126.7
70013,1483264800,2017,1,1,10,10,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,35.86710580880725,31.307985146325784,0,0,2.2991,1072.8,1056.7,1031.1,21.21,1.15,-7.25,1.8726749191432859,0,1126.7
70014,1483268400,2017,1,1,11,11,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,38.18646503440888,32.88634063142175,0,0,2.16045,1080.0,1072.8,1056.7,16.89,0.33,-13.01,1.578355485095969,0,1126.7
70015,1483272000,2017,1,1,12,12,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,39.94300473346987,34.08168977708184,0,0,1.76121,1079.3,1080.0,1072.8,13.19,0.51,-7.34,1.1953491456600887,0,1126.7
70016,1483275600,2017,1,1,13,13,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,41.038025930016246,34.826866588326766,0,0,1.14955,1080.6,1079.3,1080.0,16.26,1.41,0.0,0.7451768112449244,0,1126.7
70017,1483279200,2017,1,1,14,14,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,41.41,35.08,0,0,0.399235,1095.6,1080.6,1079.3,18.27,1.52,-1.01,0.25313341167323244,0,1126.7
70018,1483282800,2017,1,1,15,15,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,41.038025930016246,34.826866588326766,0,0,-7.10543e-15,1121.7,1095.6,1080.6,17.37,1.41,-1.39,-0.25313341167323244,0,1126.7
70019,1483286400,2017,1,1,16,16,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,39.94300473346987,34.081689777081834,0,0,-0.263122,1204.0,1121.7,1095.6,25.78,1.82,-4.88,-0.7451768112449315,0,1126.7
70020,1483290000,2017,1,1,17,17,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,37.079467783196584,32.05846014355891,0,0,-0.774074,1324.3,1204.0,1121.7,55.03,4.63,0.0,-2.0232296335229236,0,1126.7
70021,1483293600,2017,1,1,18,18,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,34.00390276410736,29.842436622811025,0,0,-1.24004,1329.9,1324.3,1204.0,44.72,3.84,0.0,-2.2160235207478856,0,1126.7
70022,1483297200,2017,1,1,19,19,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,32.02085027489802,28.41359641566531,0,0,-1.63394,1315.3,1329.9,1324.3,33.21,3.05,0.0,-1.428840207145715,0,1126.7
70023,1483300800,2017,1,1,20,20,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,30.554429967289515,27.357002953067955,0,0,-1.93288,1290.3,1315.3,1329.9,31.0,2.63,-3.34,-1.0565934625973554,0,1126.7
70024,1483304400,2017,1,1,21,21,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,29.390341486494528,26.518247330064646,0,0,-2.11949,1247.0,1290.3,1315.3,28.54,2.1,-6.05,-0.8387556230033084,0,1126.7
70025,1483308000,2017,1,1,22,22,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,28.42498103561617,25.822680352332622,0,0,-2.18292,1179.7,1247.0,1290.3,27.83,1.98,-5.72,-0.6955669777320246,0,1126.7
70026,1483311600,2017,1,1,23,23,1,34.79,1,9.222101121415939,1.0,1.0,1,1,1,41.41,28.17,23.3,35.08,26.07,22.13,36.73,26.36,32.72,23.97,27.600288964058336,25.22846855170301,0,0,-2.11949,1105.6,1179.7,1247.0,25.31,1.38,-9.4,-0.594211800629612,0,1126.7
70027,1483315200,2017,1,2,0,0,2,30.045,1,9.233657759846494,,1.0,1,1,0,36.79,23.3,34.17,35.41,22.13,33.14,39.575,26.895,34.11,24.99,26.6046418011805,24.51113327383068,1,1,-1.93288,1040.7,1105.6,1179.7,28.3,2.14,-1.56,-0.7173352778723299,0,1105.6
70028,1483318800,2017,1,2,1,1,2,30.045,1,9.233657759846494,,1.0,1,1,0,36.79,23.3,34.17,35.41,22.13,33.14,39.575,26.895,34.11,24.99,25.951689301641828,24.04065356183072,1,1,-1.63394,1001.9,1040.7,1105.6,26.34,1.7,-3.38,-0.4704797119999604,0,1105.6
70029,1483322400,2017,1,2,2,2,2,30.045,1,9.233657759846494,,1.0,1,1,0,36.79,23.3,34.17,35.41,22.13,33.14,39.575,26.895,34.11,24.99,25.364884448515326,23.617836008495374,1,1,-1.24004,990.3,1001.9,1040.7,25.45,1.49,-5.0,-0.42281755333534576,0,1105.6
70030,1483326000,2017,1,2,3,3,2,30.045,1,9.233657759846494,,1.0,1,1,0,36.79,23.3,34.17,35.41,22.13,33.14,39.575,26.895,34.11,24.99,24.832049272959196,23.233905875574195,1,1,-0.774074,991.9,990.3,1001.9,27.66,1.24,-10.39,-0.3839301329211793,0,1105.6
70031,1483329600,2017,1,2,4,4,2,30.045,1,9.233657759846494,,1.0,1,1,0,36.79,23.3,34.17,35.41,22.13,33.14,39.575,26.895,34.11,24.99,24.34408714346854,22.882308657841122,1,1,-0.263122,1001.1,991.9,990.3,26.96,1.62,-4.32,-0.3515972177330724,0,1105.6
70032,1483333200,2017,1,2,5,5,2,30.045,1,9.233657759846494,,1.0,1,1,0,36.79,23.3,34.17,35.41,22.13,33.14,39.575,26.895,34.11,24.99,23.89402360111709,22.558018964583496,1,1,0.0,1032.8,1001.1,991.9,28.66,1.73,-5.81,-0.3242896932576258,0,1105.6
70033,1483336800,2017,1,2,6,6,2,30.045,1,9.233657759846494,,1.0,1,1,0,36.79,23.3,34.17,35.41,22.13,33.14,39.575,26.895,34.11,24.99,23.47639361015232,22.257099007909048,1,1,0.406773,1080.0,1032.8,1001.1,28.27,1.86,-4.2,-0.3009199566744485,0,1105.6
70034,1483340400,2017,1,2,7,7,2,30.045,1,9.233657759846494,,1.0,1,1,0,36.79,23.3,34.17,35.41,22.13,33.14,39.575,26.895,34.11,24.99,23.086835150797558,21.976405769283154,1,1,1.17126,1127.4,1080.0,1032.8,28.47,1.97,-4.37,-0.28069323862589357,0,1105.6
70035,1483344000,2017,1,2,8,8,2,30.045,1,9.233657759846494,,1.0,1,1,0,36.79,23.3,34.17,35.41,22.13,33.14,39.575,26.895,34.11,24.99,25.26830988488605,24.06766903419472,1,1,1.79447,1176.6,1127.4,1080.0,64.95,5.1,-2.4,2.0912632649115643,0,1105.6
70036,1483347600,2017,1,2,9,9,2,30.045,1,9.233657759846494,,1.0,1,1,0,36.79,23.3,34.17,35.41,22.13,33.14,39.575,26.895,34.11,24.99,28.35160735664829,27.10296854679683,1,1,2.20124,1234.1,1176.6,1127.4,106.87,8.72,0.0,3.035299512602112,0,1105.6
70037,1483351200,2017,1,2,10,10,2,30.045,1,9.233657759846494,,1.0,1,1,0,36.79,23.3,34.17,35.41,22.13,33.14,39.575,26.895,34.11,24.99,31.151551065091116,29.85932528868866,1,1,2.34251,1274.9,1234.1,1176.6,181.24,14.71,-0.01,2.756356741891828,0,1105.6
70038,1483354800,2017,1,2,11,11,2,30.045,1,9.233657759846494,,1.0,1,1,0,36.79,23.3,34.17,35.41,22.13,33.14,39.575,26.895,34.11,24.99,33.51108712006496,32.18213024125001,1,1,2.20124,1288.7,1274.9,1234.1,43.26,3.14,-7.99,2.3228049525613486,0,1105.6
70039,1483358400,2017,1,2,12,12,2,30.045,1,9.233657759846494,,1.0,1,1,0,36.79,23.3,34.17,35.41,22.13,33.14,39.575,26.895,34.11,24.99,35.29786489063948,33.941093087301134,1,1,1.79447,1297.0,1288.7,1274.9,35.22,3.21,-0.18,1.7589628460511264,0,1105.6
70040,1483362000,2017,1,2,13,13,2,30.045,1,9.233657759846494,,1.0,1,1,0,36.79,23.3,34.17,35.41,22.13,33.14,39.575,26.895,34.11,24.99,36.411660790584975,35.03755042987164,1,1,1.17126,1295.7,1297.0,1288.7,32.04,2.92,-0.4,1.0964573425705026,0,1105.6
70041,1483365600,2017,1,2,14,14,2,30.045,1,9.233657759846494,,1.0,1,1,0,36.79,23.3,34.17,35.41,22.13,33.14,39.575,26.895,34.11,24.99,36.79,35.41,1,1,0.406773,1288.5,1295.7,1297.0,32.32,3.06,0.0,0.3724495701283601,0,1105.6
70042,1483369200,2017,1,2,15,15,2,30.045,1,9.233657759846494,,1.0,1,1,0,36.79,23.3,34.17,35.41,22.13,33.14,39.575,26.895,34.11,24.99,36.41166079058497,35.03755042987164,1,1,7.10543e-15,1295.8,1288.5,1295.7,33.7,3.24,0.0,-0.3724495701283601,0,1105.6
