,Timestamp,Year,Month,Day,Hour,CurHour,DayOfYear,AvDailyTemp,Season,Daylength,BridgeDay,IsRegularDay,IsHoliday,IsHolidayPrev,IsHolidayNext,DailyMaxTemp,DailyMinTemp,DailyMinTempNextDay,DailyMaxWetBulb,DailyMinWetBulb,DailyMinWetBulbNextDay,MeanMaxTempLastDays,MeanMinTempLastDays,MeanMaxWetBulbLastDays,MeanMinWetBulbLastDays,Temperature_Cont,WetBulb_Cont,DayOfWeek,DayOfWeekUnNorm,DeltaTemp_Cont,LoadPower_Cont,PrevLoadPower_Cont,PrevPrevLoadPower_Cont,Price_Cont,Losses_Cont,Congestion_Cont,DeltaWetBulb_Cont,AvTempClass,LoadPower_Cont23
70003,1483228800,2017,1,1,0,0,1,38.0,1,9.272191202398595,1.0,1.0,1,1,1,43.0,33.0,33.0,36.0,29.0,28.0,39.0,29.0,33.5,25.0,34.00196754807289,29.83036945818028,0,0,-0.74711,749.4,771.3,789.2,32.28,-0.17,-34.26,-0.25116694622896674,0,771.3
70004,1483232400,2017,1,1,1,1,1,38.0,1,9.272191202398595,1.0,1.0,1,1,1,43.0,33.0,33.0,36.0,29.0,28.0,39.0,29.0,33.5,25.0,33.803269665400094,29.665700798507707,0,0,-0.631561,731.5,749.4,771.3,30.77,-0.28,-34.05,-0.1646686596725715,0,771.3
70005,1483236000,2017,1,1,2,2,1,38.0,1,9.272191202398595,1.0,1.0,1,1,1,43.0,33.0,33.0,36.0,29.0,28.0,39.0,29.0,33.5,25.0,33.62475226098848,29.517756485678287,0,0,-0.479308,717.4,731.5,749.4,31.17,-0.27,-34.51,-0.14794431282942,0,771.3
70006,1483239600,2017,1,1,3,3,1,38.0,1,9.272191202398595,1.0,1.0,1,1,1,43.0,33.0,33.0,36.0,29.0,28.0,39.0,29.0,33.5,25.0,33.462691444058706,29.383450386638398,0,0,-0.2992,706.0,717.4,731.5,32.0,-0.42,-37.5,-0.13430609903988966,0,771.3
70007,1483243200,2017,1,1,4,4,1,38.0,1,9.272191202398595,1.0,1.0,1,1,1,43.0,33.0,33.0,36.0,29.0,28.0,39.0,29.0,33.5,25.0,33.31430756431088,29.26047889712672,0,0,-0.101704,702.9,706.0,717.4,27.89,0.11,-26.46,-0.12297148951167713,0,771.3
70008,1483246800,2017,1,1,5,5,1,38.0,1,9.272191202398595,1.0,1.0,1,1,1,43.0,33.0,33.0,36.0,29.0,28.0,39.0,29.0,33.5,25.0,33.177470710780796,29.14707687712776,0,0,0.0,705.9,702.9,706.0,28.23,0.07,-27.14,-0.11340201999896138,0,771.3
70009,1483250400,2017,1,1,6,6,1,38.0,1,9.272191202398595,1.0,1.0,1,1,1,43.0,33.0,33.0,36.0,29.0,28.0,39.0,29.0,33.5,25.0,33.05051276733663,29.04186189395572,0,0,0.301537,713.8,705.9,702.9,34.64,0.14,-32.67,-0.10521498317203992,0,771.3
70010,1483254000,2017,1,1,7,7,1,38.0,1,9.272191202398595,1.0,1.0,1,1,1,43.0,33.0,33.0,36.0,29.0,28.0,39.0,29.0,33.5,25.0,32.93210286543734,28.943731005113662,0,0,0.868241,720.1,713.8,705.9,25.44,0.86,-14.55,-0.09813088884205712,0,771.3
70011,1483257600,2017,1,1,8,8,1,38.0,1,9.272191202398595,1.0,1.0,1,1,1,43.0,33.0,33.0,36.0,29.0,28.0,39.0,29.0,33.5,25.0,34.49998686121362,30.049990802849535,0,0,1.33022,728.7,720.1,713.8,22.86,0.1,-21.78,1.1062597977358735,0,771.3
70012,1483261200,2017,1,1,9,9,1,38.0,1,9.272191202398595,1.0,1.0,1,1,1,43.0,33.0,33.0,36.0,29.0,28.0,39.0,29.0,33.5,25.0,36.776637044521735,31.643645931165214,0,0,1.63176,742.3,728.7,720.1,24.67,1.12,-10.98,1.5936551283156781,0,771.3
70013,1483264800,2017,1,1,10,10,1,38.0,1,9.272191202398595,1.0,1.0,1,1,1,43.0,33.0,33.0,36.0,29.0,28.0,39.0,29.0,33.5,25.0,38.842671391650676,33.08986997415548,0,0,1.73648,748.3,742.3,728.7,21.21,1.15,-7.25,1.4462240429902629,0,771.3
70014,1483268400,2017,1,1,11,11,1,38.0,1,9.272191202398595,1.0,1.0,1,1,1,43.0,33.0,33.0,36.0,29.0,28.0,39.0,29.0,33.5,25.0,40.582871112320724,34.30800977862451,0,0,1.63176,751.7,748.3,742.3,16.89,0.33,-13.01,1.2181398044690326,0,771.3
