,Timestamp,Year,Month,Day,Hour,CurHour,DayOfYear,AvDailyTemp,Season,Daylength,BridgeDay,IsRegularDay,IsHoliday,IsHolidayPrev,IsHolidayNext,DailyMaxTemp,DailyMinTemp,DailyMinTempNextDay,DailyMaxWetBulb,DailyMinWetBulb,DailyMinWetBulbNextDay,MeanMaxTempLastDays,MeanMinTempLastDays,MeanMaxWetBulbLastDays,MeanMinWetBulbLastDays,Temperature_Cont,WetBulb_Cont,DayOfWeek,DayOfWeekUnNorm,DeltaTemp_Cont,LoadPower_Cont,PrevLoadPower_Cont,PrevPrevLoadPower_Cont,Price_Cont,Losses_Cont,Congestion_Cont,DeltaWetBulb_Cont,AvTempClass,LoadPower_Cont23
70003,1483228800,2017,1,1,0,0,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,25.96359323547841,23.96359323547841,0,0,-0.853839,631.1,639.3,645.2,32.28,-0.17,-34.26,-0.28179335650835213,0,639.3
70004,1483232400,2017,1,1,1,1,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,25.77801845054568,23.77801845054568,0,0,-0.721784,619.0,631.1,639.3,30.77,-0.28,-34.05,-0.1855747849327294,0,639.3
70005,1483236000,2017,1,1,2,2,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,25.610908356866382,23.610908356866382,0,0,-0.547781,607.3,619.0,631.1,31.17,-0.27,-34.51,-0.1671100936792982,0,639.3
70006,1483239600,2017,1,1,3,3,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,25.458918728972087,23.458918728972087,0,0,-0.341943,604.1,607.3,619.0,32.0,-0.42,-37.5,-0.15198962789429515,0,639.3
70007,1483243200,2017,1,1,4,4,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,25.319538907523967,23.319538907523967,0,0,-0.116233,607.2,604.1,607.3,27.89,0.11,-26.46,-0.1393798214481201,0,639.3
70008,1483246800,2017,1,1,5,5,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,25.190835898356088,23.190835898356088,0,0,0.0,612.6,607.2,604.1,28.23,0.07,-27.14,-0.1287030091678787,0,639.3
70009,1483250400,2017,1,1,6,6,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,25.07128971063443,23.07128971063443,0,0,0.24123,623.4,612.6,607.2,34.64,0.14,-32.67,-0.1195461877216566,0,639.3
70010,1483254000,2017,1,1,7,7,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,24.959683482670304,22.959683482670304,0,0,0.694593,631.3,623.4,612.6,25.44,0.86,-14.55,-0.11160622796412767,0,639.3
70011,1483257600,2017,1,1,8,8,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,25.842937590303478,23.842937590303478,0,0,1.06418,642.0,631.3,623.4,22.86,0.1,-21.78,0.8832541076331744,0,639.3
70012,1483261200,2017,1,1,9,9,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,27.7414440048511,25.7414440048511,0,0,1.30541,649.5,642.0,631.3,24.67,1.12,-10.98,1.8985064145476223,0,639.3
70013,1483264800,2017,1,1,10,10,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,29.477271610988623,27.477271610988623,0,0,1.38919,651.6,649.5,642.0,21.21,1.15,-7.25,1.7358276061375228,0,639.3
70014,1483268400,2017,1,1,11,11,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,30.947415435398298,28.947415435398298,0,0,1.30541,652.2,651.6,649.5,16.89,0.33,-13.01,1.470143824409675,0,639.3
70015,1483272000,2017,1,1,12,12,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,32.064636327791725,30.06463632779172,0,0,1.06418,650.7,652.2,651.6,13.19,0.51,-7.34,1.1172208923934228,0,639.3
70016,1483275600,2017,1,1,13,13,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,32.762637780494906,30.762637780494906,0,0,0.694593,650.9,650.7,652.2,16.26,1.41,0.0,0.6980014527031848,0,639.3
70017,1483279200,2017,1,1,14,14,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,33.0,31.0,0,0,0.24123,646.7,650.9,650.7,18.27,1.52,-1.01,0.23736221950509417,0,639.3
70018,1483282800,2017,1,1,15,15,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,32.762637780494906,30.762637780494906,0,0,0.0,641.4,646.7,650.9,17.37,1.41,-1.39,-0.23736221950509417,0,639.3
70019,1483286400,2017,1,1,16,16,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,32.064636327791725,30.06463632779172,0,0,-0.188878,659.5,641.4,646.7,25.78,1.82,-4.88,-0.6980014527031848,0,639.3
70020,1483290000,2017,1,1,17,17,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,29.749236225281223,27.910937247981575,0,0,-0.555658,673.8,659.5,641.4,55.03,4.63,0.0,-2.1536990798101456,0,639.3
70021,1483293600,2017,1,1,18,18,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,27.685637350490385,26.024779229717318,0,0,-0.890144,673.9,673.8,659.5,44.72,3.84,0.0,-1.8861580182642577,0,639.3
70022,1483297200,2017,1,1,19,19,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,26.309996015067174,24.767423952603576,0,0,-1.1729,668.2,673.9,673.8,33.21,3.05,0.0,-1.2573552771137422,0,639.3
70023,1483300800,2017,1,1,20,20,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,25.27656562000373,23.822854225522057,0,0,-1.38749,660.4,668.2,673.9,31.0,2.63,-3.34,-0.9445697270815181,0,639.3
70024,1483304400,2017,1,1,21,21,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,24.448559916441518,23.06604551816089,0,0,-1.52144,652.6,660.4,668.2,28.54,2.1,-6.05,-0.7568087073611665,0,639.3
70025,1483308000,2017,1,1,22,22,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,23.75769803546521,22.434588168462216,0,0,-1.56698,641.4,652.6,660.4,27.83,1.98,-5.72,-0.6314573496986746,0,639.3
70026,1483311600,2017,1,1,23,23,1,29.0,1,8.864543470456034,1.0,1.0,1,1,1,33.0,25.0,20.0,31.0,23.0,19.0,33.0,15.5,30.5,13.5,23.16493966391832,21.89279878824667,0,0,-1.52144,631.6,641.4,652.6,25.31,1.38,-9.4,-0.5417893802155476,0,639.3
70027,1483315200,2017,1,2,0,0,2,28.0,1,8.877718362705991,,1.0,1,1,0,36.0,20.0,30.0,32.0,19.0,28.0,33.0,19.0,31.0,17.0,22.448827904998524,21.23818159593704,1,1,-1.38749,630.6,631.6,641.4,28.3,2.14,-1.56,-0.6546171923096296,0,631.6
70028,1483318800,2017,1,2,1,1,2,28.0,1,8.877718362705991,,1.0,1,1,0,36.0,20.0,30.0,32.0,19.0,28.0,33.0,19.0,31.0,17.0,21.977217379856405,20.807138648546285,1,1,-1.1729,625.2,630.6,631.6,26.34,1.7,-3.38,-0.431042947390754,0,631.6
70029,1483322400,2017,1,2,2,2,2,28.0,1,8.877718362705991,,1.0,1,1,0,36.0,20.0,30.0,32.0,19.0,28.0,33.0,19.0,31.0,17.0,21.552532102353794,20.41898447477541,1,1,-0.890144,620.3,625.2,630.6,25.45,1.49,-5.0,-0.38815417377087513,0,631.6
70030,1483326000,2017,1,2,3,3,2,28.0,1,8.877718362705991,,1.0,1,1,0,36.0,20.0,30.0,32.0,19.0,28.0,33.0,19.0,31.0,17.0,21.166273224277408,20.065951290853743,1,1,-0.555658,621.0,620.3,625.2,27.66,1.24,-10.39,-0.35303318392166716,0,631.6
70031,1483329600,2017,1,2,4,4,2,28.0,1,8.877718362705991,,1.0,1,1,0,36.0,20.0,30.0,32.0,19.0,28.0,33.0,19.0,31.0,17.0,20.81206028090155,19.742207474765937,1,1,-0.188878,625.8,621.0,620.3,26.96,1.62,-4.32,-0.32374381608780567,0,631.6
70032,1483333200,2017,1,2,5,5,2,28.0,1,8.877718362705991,,1.0,1,1,0,36.0,20.0,30.0,32.0,19.0,28.0,33.0,19.0,31.0,17.0,20.484980857029193,19.4432631735243,1,1,0.0,635.2,625.8,621.0,28.66,1.73,-5.81,-0.2989443012416366,0,631.6
70033,1483336800,2017,1,2,6,6,2,28.0,1,8.877718362705991,,1.0,1,1,0,36.0,20.0,30.0,32.0,19.0,28.0,33.0,19.0,31.0,17.0,20.181172123581987,19.16558783566225,1,1,0.482459,650.2,635.2,625.8,28.27,1.86,-4.2,-0.2776753378620498,0,631.6
70034,1483340400,2017,1,2,7,7,2,28.0,1,8.877718362705991,,1.0,1,1,0,36.0,20.0,30.0,32.0,19.0,28.0,33.0,19.0,31.0,17.0,19.89754160880934,18.906355001491058,1,1,1.38919,663.0,650.2,635.2,28.47,1.97,-4.37,-0.25923283417119336,0,631.6
70035,1483344000,2017,1,2,8,8,2,28.0,1,8.877718362705991,,1.0,1,1,0,36.0,20.0,30.0,32.0,19.0,28.0,33.0,19.0,31.0,17.0,21.709724495994912,20.38915115299587,1,1,2.12836,676.6,663.0,650.2,64.95,5.1,-2.4,1.482796151504811,0,631.6
70036,1483347600,2017,1,2,9,9,2,28.0,1,8.877718362705991,,1.0,1,1,0,36.0,20.0,30.0,32.0,19.0,28.0,33.0,19.0,31.0,17.0,25.501660814212727,23.470099411547842,1,1,2.61081,681.2,676.6,663.0,106.87,8.72,0.0,3.080948258551974,0,631.6
70037,1483351200,2017,1,2,10,10,2,28.0,1,8.877718362705991,,1.0,1,1,0,36.0,20.0,30.0,32.0,19.0,28.0,33.0,19.0,31.0,17.0,28.967789881541815,26.286329278752724,1,1,2.77837,679.1,681.2,676.6,181.24,14.71,-0.01,2.816229867204882,0,631.6
70038,1483354800,2017,1,2,11,11,2,28.0,1,8.877718362705991,,1.0,1,1,0,36.0,20.0,30.0,32.0,19.0,28.0,33.0,19.0,31.0,17.0,31.902848229224773,28.671064186245125,1,1,2.61081,668.1,679.1,681.2,43.26,3.14,-7.99,2.384734907492401,0,631.6
70039,1483358400,2017,1,2,12,12,2,28.0,1,8.877718362705991,,1.0,1,1,0,36.0,20.0,30.0,32.0,19.0,28.0,33.0,19.0,31.0,17.0,34.13302229009544,30.483080610702544,1,1,2.12836,655.8,668.1,679.1,35.22,3.21,-0.18,1.8120164244574184,0,631.6
70040,1483362000,2017,1,2,13,13,2,28.0,1,8.877718362705991,,1.0,1,1,0,36.0,20.0,30.0,32.0,19.0,28.0,33.0,19.0,31.0,17.0,35.526241603194364,31.61507130259542,1,1,1.38919,647.8,655.8,668.1,32.04,2.92,-0.4,1.1319906918928773,0,631.6
70041,1483365600,2017,1,2,14,14,2,28.0,1,8.877718362705991,,1.0,1,1,0,36.0,20.0,30.0,32.0,19.0,28.0,33.0,19.0,31.0,17.0,36.0,32.0,1,1,0.482459,638.1,647.8,655.8,32.32,3.06,0.0,0.3849286974045789,0,631.6
