,Timestamp,Year,Month,Day,Hour,CurHour,DayOfYear,AvDailyTemp,Season,Daylength,BridgeDay,IsRegularDay,IsHoliday,IsHolidayPrev,IsHolidayNext,IsHolidayNorm,IsHolidayPrevNorm,IsHolidayNextNorm,DailyMaxTemp,DailyMinTemp,DailyMinTempNextDay,DailyMaxWetBulb,DailyMinWetBulb,DailyMinWetBulbNextDay,MeanMaxTempLastDays,MeanMinTempLastDays,MeanMaxWetBulbLastDays,MeanMinWetBulbLastDays,Temperature_Cont,WetBulb_Cont,DayOfWeek,DayOfWeekUnNorm,DeltaTemp_Cont,LoadPower_Cont,PrevLoadPower_Cont,PrevPrevLoadPower_Cont,Price_Cont,Losses_Cont,Congestion_Cont,DeltaWetBulb_Cont,AvTempClass,LoadPower_Cont23
70003,1483228800,2017,1,1,0,0,1,42.79,1,9.305215995297168,1.0,1.0,1,1,1,1,1,1,46.79,38.79,37.16,38.0,34.0,32.16,43.29,34.29,36.395,29.0,39.617425030144325,34.44455812705878,0,0,-0.64038,5011.2,5200.2,5393.9,32.28,-0.17,-34.26,-0.13484119590733457,0,5200.2
70004,1483232400,2017,1,1,1,1,1,42.79,1,9.305215995297168,1.0,1.0,1,1,1,1,1,1,46.79,38.79,37.16,38.0,34.0,32.16,43.29,34.29,36.395,29.0,39.452944431020384,34.35618614842612,0,0,-0.541338,4837.3,5011.2,5200.2,30.77,-0.28,-34.05,-0.088371978632658,0,5200.2
70005,1483236000,2017,1,1,2,2,1,42.79,1,9.305215995297168,1.0,1.0,1,1,1,1,1,1,46.79,38.79,37.16,38.0,34.0,32.16,43.29,34.29,36.395,29.0,39.30519719545524,34.27680465532638,0,0,-0.410836,4652.6,4837.3,5011.2,31.17,-0.27,-34.51,-0.07938149309973852,0,5200.2
70006,1483239600,2017,1,1,3,3,1,42.79,1,9.305215995297168,1.0,1.0,1,1,1,1,1,1,46.79,38.79,37.16,38.0,34.0,32.16,43.29,34.29,36.395,29.0,39.17109080267566,34.20475210116289,0,0,-0.256457,4500.7,4652.6,4837.3,32.0,-0.42,-37.5,-0.07205255416349132,0,5200.2
70007,1483243200,2017,1,1,4,4,1,42.79,1,9.305215995297168,1.0,1.0,1,1,1,1,1,1,46.79,38.79,37.16,38.0,34.0,32.16,43.29,34.29,36.395,29.0,39.0483179798372,34.13878883659345,0,0,-0.0871745,4423.5,4500.7,4652.6,27.89,0.11,-26.46,-0.06596326456944013,0,5200.2
70008,1483246800,2017,1,1,5,5,1,42.79,1,9.305215995297168,1.0,1.0,1,1,1,1,1,1,46.79,38.79,37.16,38.0,34.0,32.16,43.29,34.29,36.395,29.0,38.93511147249213,34.07796535284241,0,0,0.0,4433.2,4423.5,4500.7,28.23,0.07,-27.14,-0.06082348375103663,0,5200.2
70009,1483250400,2017,1,1,6,6,1,42.79,1,9.305215995297168,1.0,1.0,1,1,1,1,1,1,46.79,38.79,37.16,38.0,34.0,32.16,43.29,34.29,36.395,29.0,38.83008765079187,34.02153825459101,0,0,0.24123,4486.5,4433.2,4423.5,34.64,0.14,-32.67,-0.05642709825140457,0,5200.2
70010,1483254000,2017,1,1,7,7,1,42.79,1,9.305215995297168,1.0,1.0,1,1,1,1,1,1,46.79,38.79,37.16,38.0,34.0,32.16,43.29,34.29,36.395,29.0,38.732142929333726,33.96891460853194,0,0,0.694593,4526.2,4486.5,4433.2,25.44,0.86,-14.55,-0.05262364605906811,0,5200.2
70011,1483257600,2017,1,1,8,8,1,42.79,1,9.305215995297168,1.0,1.0,1,1,1,1,1,1,46.79,38.79,37.16,38.0,34.0,32.16,43.29,34.29,36.395,29.0,40.01786405247346,34.61393202623673,0,0,1.06418,4645.0,4526.2,4486.5,22.86,0.1,-21.78,0.6450174177047927,0,5200.2
70012,1483261200,2017,1,1,9,9,1,42.79,1,9.305215995297168,1.0,1.0,1,1,1,1,1,1,46.79,38.79,37.16,38.0,34.0,32.16,43.29,34.29,36.395,29.0,41.833057103624675,35.52152855181234,0,0,1.30541,4798.5,4645.0,4526.2,24.67,1.12,-10.98,0.907596525575606,0,5200.2
