,Timestamp,IdxDay,Year,Month,Day,Hour,IsHoliday,DayOfWeek,IsRegularDay,Temperature,Real,Predicted,Deviation
168,1483228800,2186,2017,1,1,0,1.0,0,1.0,29.715229245672887,1064.8,1066.4284864792546,0.15293824936651593
169,1483232400,2186,2017,1,1,1,1.0,0,1.0,29.409912857687374,1014.0,1017.3839382191094,0.3337217178608858
170,1483236000,2186,2017,1,1,2,1.0,0,1.0,29.13552668360039,972.7,993.7909444254699,2.1682887247321725
171,1483239600,2186,2017,1,1,3,1.0,0,1.0,28.886376383529,958.9,979.1909156742677,2.1160617034380746
172,1483243200,2186,2017,1,1,4,1.0,0,1.0,28.658208431105102,957.0,981.0235709537935,2.510299995171737
173,1483246800,2186,2017,1,1,5,1.0,0,1.0,28.447761614205252,967.4,1000.4615463083471,3.417567325650935
174,1483250400,2186,2017,1,1,6,1.0,0,1.0,28.252480517271138,989.5,1038.7315322269078,4.9753948688133205
175,1483254000,2186,2017,1,1,7,1.0,0,1.0,28.070325487918424,1001.4,1082.1675554484075,8.065463895387209
176,1483257600,2186,2017,1,1,8,1.0,0,1.0,30.085524438902677,1031.1,1138.9580672527595,10.460485622418739
177,1483261200,2186,2017,1,1,9,1.0,0,1.0,33.11525054471657,1056.7,1177.1242249452482,11.396254844823334
178,1483264800,2186,2017,1,1,10,1.0,0,1.0,35.867105808807246,1072.8,1200.913011111318,11.941928701651564
179,1483268400,2186,2017,1,1,11,1.0,0,1.0,38.18646503440888,1080.0,1208.4781867459608,11.896128402403775
180,1483272000,2186,2017,1,1,12,1.0,0,1.0,39.94300473346987,1079.3,1204.1237484413314,11.565250480990588
181,1483275600,2186,2017,1,1,13,1.0,0,1.0,41.03802593001625,1080.6,1195.062030780187,10.592451488079492
182,1483279200,2186,2017,1,1,14,1.0,0,1.0,41.41,1095.6,1187.426903203071,8.381425995168968
183,1483282800,2186,2017,1,1,15,1.0,0,1.0,41.03802593001625,1121.7,1202.5739158471333,7.209941682012416
184,1483286400,2186,2017,1,1,16,1.0,0,1.0,39.94300473346987,1204.0,1278.7304140582773,6.206845021451607
185,1483290000,2186,2017,1,1,17,1.0,0,1.0,37.07946778319658,1324.3,1378.8542611381915,4.119479055968556
186,1483293600,2186,2017,1,1,18,1.0,0,1.0,34.00390276410736,1329.9,1365.3615956966162,2.6664858783830425
187,1483297200,2186,2017,1,1,19,1.0,0,1.0,32.02085027489802,1315.3,1335.632935321897,1.5458781511364053
188,1483300800,2186,2017,1,1,20,1.0,0,1.0,30.554429967289515,1290.3,1304.000309721654,1.0617925847984262
