,Timestamp,IdxDay,Year,Month,Day,Hour,IsHoliday,DayOfWeek,IsRegularDay,Temperature,Real,Predicted,Deviation
168,1483228800,2186,2017,1,1,0,1.0,0,1.0,25.96359323547841,631.1,629.42869109313,0.264824735678968
169,1483232400,2186,2017,1,1,1,1.0,0,1.0,25.778018450545677,619.0,620.0001404465238,0.16157357779059792
170,1483236000,2186,2017,1,1,2,1.0,0,1.0,25.61090835686639,607.3,617.2753337543145,1.642571011742884
171,1483239600,2186,2017,1,1,3,1.0,0,1.0,25.45891872897209,604.1,614.1005345764705,1.6554435650505712
172,1483243200,2186,2017,1,1,4,1.0,0,1.0,25.31953890752397,607.2,615.004296956005,1.2852926475633923
173,1483246800,2186,2017,1,1,5,1.0,0,1.0,25.190835898356088,612.6,615.8690519717496,0.5336356467106765
174,1483250400,2186,2017,1,1,6,1.0,0,1.0,25.07128971063443,623.4,629.5893744393751,0.9928415847569964
175,1483254000,2186,2017,1,1,7,1.0,0,1.0,24.959683482670304,631.3,641.7206180390449,1.6506602311175258
176,1483257600,2186,2017,1,1,8,1.0,0,1.0,25.842937590303478,642.0,652.1534938950787,1.5815411051524404
177,1483261200,2186,2017,1,1,9,1.0,0,1.0,27.741444004851104,649.5,661.547943154749,1.8549566058120037
178,1483264800,2186,2017,1,1,10,1.0,0,1.0,29.477271610988627,651.6,663.6244666968576,1.8453754906165638
179,1483268400,2186,2017,1,1,11,1.0,0,1.0,30.947415435398298,652.2,661.8207581284796,1.4751239080772103
180,1483272000,2186,2017,1,1,12,1.0,0,1.0,32.064636327791725,650.7,662.9899706991004,1.8887307052559255
181,1483275600,2186,2017,1,1,13,1.0,0,1.0,32.762637780494906,650.9,660.6503471809041,1.497979287279782
182,1483279200,2186,2017,1,1,14,1.0,0,1.0,33.0,646.7,656.5157760443003,1.517825273589031
183,1483282800,2186,2017,1,1,15,1.0,0,1.0,32.762637780494906,641.4,659.0622999254726,2.7537106213708555
184,1483286400,2186,2017,1,1,16,1.0,0,1.0,32.064636327791725,659.5,674.739855071933,2.3108195711801356
185,1483290000,2186,2017,1,1,17,1.0,0,1.0,29.749236225281223,673.8,687.0536300973774,1.9669976398601192
186,1483293600,2186,2017,1,1,18,1.0,0,1.0,27.68563735049039,673.9,674.9927513918136,0.16215334497902295
187,1483297200,2186,2017,1,1,19,1.0,0,1.0,26.30999601506717,668.2,676.3283560817455,1.2164555644635493
188,1483300800,2186,2017,1,1,20,1.0,0,1.0,25.27656562000373,660.4,667.6157173792113,1.0926283130241303
189,1483304400,2186,2017,1,1,21,1.0,0,1.0,24.44855991644152,652.6,654.0740539121524,0.22587402883119603
190,1483308000,2186,2017,1,1,22,1.0,0,1.0,23.757698035465214,641.4,637.0955422948989,0.6711034775648694
191,1483311600,2186,2017,1,1,23,1.0,0,1.0,23.164939663918318,631.6,623.1386237609231,1.339673248745553
192,1483315200,2187,2017,1,2,0,1.0,1,1.0,22.44882790499852,630.6,617.5756803720641,2.065385288286701
193,1483318800,2187,2017,1,2,1,1.0,1,1.0,21.977217379856405,625.2,613.9905165911867,1.7929436034570214
194,1483322400,2187,2017,1,2,2,1.0,1,1.0,21.552532102353798,620.3,612.2572989597984,1.296582466580939
195,1483326000,2187,2017,1,2,3,1.0,1,1.0,21.166273224277404,621.0,611.6404334527737,1.5071765776531942
196,1483329600,2187,2017,1,2,4,1.0,1,1.0,20.81206028090155,625.8,613.923624663304,1.8977908815429694
197,1483333200,2187,2017,1,2,5,1.0,1,1.0,20.484980857029196,635.2,598.2232809634903,5.8212718886192905
198,1483336800,2187,2017,1,2,6,1.0,1,1.0,20.18117212358199,650.2,623.0865699891211,4.170013843567966
199,1483340400,2187,2017,1,2,7,1.0,1,1.0,19.897541608809338,663.0,653.1526687983707,1.4852686578626464
200,1483344000,2187,2017,1,2,8,1.0,1,1.0,21.709724495994916,676.6,659.3104531546876,2.555357204450551
201,1483347600,2187,2017,1,2,9,1.0,1,1.0,25.501660814212734,681.2,670.7911370758668,1.5280186324329486
202,1483351200,2187,2017,1,2,10,1.0,1,1.0,28.967789881541812,679.1,674.4274936586952,0.688043931866415
203,1483354800,2187,2017,1,2,11,1.0,1,1.0,31.902848229224766,668.1,680.4909901816006,1.8546610060770266
204,1483358400,2187,2017,1,2,12,1.0,1,1.0,34.13302229009545,655.8,674.7504000134865,2.889661484215691
205,1483362000,2187,2017,1,2,13,1.0,1,1.0,35.526241603194364,647.8,669.4123791808358,3.3362734147631814
206,1483365600,2187,2017,1,2,14,1.0,1,1.0,36.0,638.1,669.9538632869876,4.991986097318222
207,1483369200,2187,2017,1,2,15,1.0,1,1.0,35.526241603194364,640.1,672.4558416739774,5.054810447426551
208,1483372800,2187,2017,1,2,16,1.0,1,1.0,34.13302229009545,663.8,687.8217780906525,3.6188276725900215
209,1483376400,2187,2017,1,2,17,1.0,1,1.0,32.72974800234107,685.0,696.718356021015,1.7107089081773699
210,1483380000,2187,2017,1,2,18,1.0,1,1.0,32.150859052988665,684.7,683.4685380639877,0.1798542333886887
211,1483383600,2187,2017,1,2,19,1.0,1,1.0,31.765395937011963,682.0,682.0119903794466,0.0017581201534626698
212,1483387200,2187,2017,1,2,20,1.0,1,1.0,31.47598203971487,676.6,671.0577972786356,0.8191254391611656
213,1483390800,2187,2017,1,2,21,1.0,1,1.0,31.24417373043205,661.6,653.3760943529462,1.2430328970758482
