,Timestamp,IdxDay,Year,Month,Day,Hour,IsHoliday,DayOfWeek,IsRegularDay,Temperature,Real,Predicted,Deviation
168,1483228800,2186,2017,1,1,0,1.0,0,1.0,39.617425030144325,5011.2,4909.191786446899,2.035604516944067
169,1483232400,2186,2017,1,1,1,1.0,0,1.0,39.452944431020384,4837.3,4624.400510734297,4.401204995879992
170,1483236000,2186,2017,1,1,2,1.0,0,1.0,39.30519719545524,4652.6,4480.30695910867,3.703156103927497
171,1483239600,2186,2017,1,1,3,1.0,0,1.0,39.17109080267566,4500.7,4373.8346551082905,2.818791407818992
172,1483243200,2186,2017,1,1,4,1.0,0,1.0,39.0483179798372,4423.5,4347.010460829375,1.7291633134537128
173,1483246800,2186,2017,1,1,5,1.0,0,1.0,38.93511147249213,4433.2,4401.432467151451,0.7165824426723
174,1483250400,2186,2017,1,1,6,1.0,0,1.0,38.83008765079187,4486.5,4503.875023957157,0.3872734638840361
175,1483254000,2186,2017,1,1,7,1.0,0,1.0,38.732142929333726,4526.2,4628.846193057597,2.267822744412465
176,1483257600,2186,2017,1,1,8,1.0,0,1.0,40.01786405247346,4645.0,4874.917052080511,4.949775071700991
177,1483261200,2186,2017,1,1,9,1.0,0,1.0,41.83305710362468,4798.5,5119.407080221826,6.68765406318278
178,1483264800,2186,2017,1,1,10,1.0,0,1.0,43.479382162562224,4953.9,5306.487966596192,7.117381590185349
179,1483268400,2186,2017,1,1,11,1.0,0,1.0,44.86547991601436,5066.5,5402.3623236549,6.629079712916217
180,1483272000,2186,2017,1,1,12,1.0,0,1.0,45.91443181244995,5129.7,5445.41307348531,6.154610863896718
181,1483275600,2186,2017,1,1,13,1.0,0,1.0,46.56802849376368,5165.3,5446.717667346509,5.448234707500223
182,1483279200,2186,2017,1,1,14,1.0,0,1.0,46.79,5183.2,5430.254249144887,4.766442528648072
183,1483282800,2186,2017,1,1,15,1.0,0,1.0,46.56802849376368,5215.5,5453.714785747357,4.5674390901612005
184,1483286400,2186,2017,1,1,16,1.0,0,1.0,45.91443181244995,5366.1,5600.564389184891,4.3693630231432685
185,1483290000,2186,2017,1,1,17,1.0,0,1.0,44.39294365115805,5650.7,5831.872845181388,3.2062018012173334
186,1483293600,2186,2017,1,1,18,1.0,0,1.0,42.75727001725949,5686.0,5852.593087425416,2.929881945575384
187,1483297200,2186,2017,1,1,19,1.0,0,1.0,41.711644527675766,5640.2,5764.69514175264,2.207282396947625
188,1483300800,2186,2017,1,1,20,1.0,0,1.0,40.94145895334866,5580.8,5656.358103020822,1.3538937611242523
189,1483304400,2186,2017,1,1,21,1.0,0,1.0,40.33144744879277,5479.6,5520.211894324797,0.7411470604569055
190,1483308000,2186,2017,1,1,22,1.0,0,1.0,39.82632297027048,5287.1,5292.505827203757,0.10224560162955905
191,1483311600,2186,2017,1,1,23,1.0,0,1.0,39.39525349708833,5032.2,4978.369626979218,1.0697184734466383
192,1483315200,2187,2017,1,2,0,1.0,1,1.0,38.87484851627614,4770.0,4760.41237654467,0.2009983952899324
193,1483318800,2187,2017,1,2,1,1.0,1,1.0,38.53396045864184,4576.6,4556.999140077944,0.42828431416459306
194,1483322400,2187,2017,1,2,2,1.0,1,1.0,38.22775250207496,4457.1,4419.986040280657,0.832693000366679
195,1483326000,2187,2017,1,2,3,1.0,1,1.0,37.94981535936958,4393.2,4328.438703059497,1.4741258522376102
